variant,round,metric,value
task3,215.0,score,0.29
task3,216.0,score,0.29
task3,217.0,score,0.29
task3,218.0,score,0.29
task3,219.0,score,0.31
task3,220.0,score,0.31
task3,221.0,score,0.31
task3,222.0,score,0.3
task3,223.0,score,0.29
task3,224.0,score,0.34
task3,225.0,score,0.34
task3,226.0,score,0.34
task3,227.0,score,0.34
task3,228.0,score,0.33
task3,229.0,score,0.33
task3,230.0,score,0.33
task3,231.0,score,0.32
task3,232.0,score,0.32
task3,233.0,score,0.35
task3,234.0,score,0.36
task3,235.0,score,0.37
task3,236.0,score,0.36
task3,237.0,score,0.36
task3,238.0,score,0.41
task3,239.0,score,0.41
task3,240.0,score,0.41
task3,241.0,score,0.41
task3,242.0,score,0.41
task3,243.0,score,0.44
task3,244.0,score,0.44
task3,245.0,score,0.43
task3,246.0,score,0.43
task3,247.0,score,0.42
task3,248.0,score,0.41
task3,249.0,score,0.41
task3,250.0,score,0.41
task3,251.0,score,0.4
task3,252.0,score,0.4
task3,253.0,score,0.4
task3,254.0,score,0.39
task3,255.0,score,0.4
task3,256.0,score,0.41
task3,257.0,score,0.41
task3,258.0,score,0.39
task3,259.0,score,0.45
task3,260.0,score,0.45
task3,261.0,score,0.45
task3,262.0,score,0.46
task3,263.0,score,0.46
task3,264.0,score,0.46
task3,265.0,score,0.46
task3,266.0,score,0.46
task3,267.0,score,0.45
task3,268.0,score,0.47
task3,269.0,score,0.47
task3,270.0,score,0.47
task3,271.0,score,0.48
task3,272.0,score,0.48
task3,273.0,score,0.49
task3,274.0,score,0.48
task3,275.0,score,0.54
task3,276.0,score,0.52
task3,277.0,score,0.52
task3,278.0,score,0.52
task3,279.0,score,0.51
task3,280.0,score,0.51
task3,281.0,score,0.51
task3,282.0,score,0.51
task3,283.0,score,0.52
task3,284.0,score,0.53
task3,285.0,score,0.55
task3,286.0,score,0.55
task3,287.0,score,0.55
task3,288.0,score,0.56
task3,289.0,score,0.56
task3,290.0,score,0.57
task3,291.0,score,0.57
task3,292.0,score,0.54
task3,293.0,score,0.54
task3,294.0,score,0.53
task3,295.0,score,0.53
task3,296.0,score,0.54
task3,297.0,score,0.54
task3,298.0,score,0.56
task3,299.0,score,0.56
task3,300.0,score,0.56
task3,301.0,score,0.56
task3,302.0,score,0.56
task3,303.0,score,0.56
task3,304.0,score,0.56
task3,305.0,score,0.56
task3,306.0,score,0.56
task3,307.0,score,0.56
task3,308.0,score,0.56
task3,309.0,score,0.56
task3,310.0,score,0.56
task3,311.0,score,0.59
task3,312.0,score,0.6
task3,313.0,score,0.59
task3,314.0,score,0.59
task3,315.0,score,0.59
task3,316.0,score,0.59
task3,317.0,score,0.59
task3,318.0,score,0.65
task3,319.0,score,0.63
task3,320.0,score,0.63
task3,321.0,score,0.63
task3,322.0,score,0.62
task3,323.0,score,0.62
task3,324.0,score,0.58
task3,325.0,score,0.58
task3,326.0,score,0.56
task3,327.0,score,0.56
task3,328.0,score,0.56
task3,329.0,score,0.55
task3,330.0,score,0.55
task3,331.0,score,0.56
task3,332.0,score,0.57
task3,333.0,score,0.54
task3,334.0,score,0.54
task3,335.0,score,0.53
task3,336.0,score,0.53
task3,337.0,score,0.53
task3,338.0,score,0.48
task3,339.0,score,0.48
task3,340.0,score,0.48
task3,341.0,score,0.48
task3,342.0,score,0.49
task3,343.0,score,0.47
task3,344.0,score,0.49
task3,345.0,score,0.5
task3,346.0,score,0.5
task3,347.0,score,0.51
task3,348.0,score,0.52
task3,349.0,score,0.52
task3,350.0,score,0.52
task3,351.0,score,0.52
task3,352.0,score,0.52
task3,353.0,score,0.52
task3,354.0,score,0.52
task3,355.0,score,0.51
task3,356.0,score,0.5
task3,357.0,score,0.5
task3,358.0,score,0.51
task3,359.0,score,0.45
task3,360.0,score,0.45
task3,361.0,score,0.45
task3,362.0,score,0.44
task3,363.0,score,0.44
task3,364.0,score,0.44
task3,365.0,score,0.42
task3,366.0,score,0.42
task3,367.0,score,0.43
task3,368.0,score,0.41
task3,369.0,score,0.42
task3,370.0,score,0.42
task3,371.0,score,0.41
task3,372.0,score,0.41
task3,373.0,score,0.41
task3,374.0,score,0.42
task3,375.0,score,0.36
task3,376.0,score,0.36
task3,377.0,score,0.41
task3,378.0,score,0.42
task3,379.0,score,0.42
task3,380.0,score,0.42
task3,381.0,score,0.43
task3,382.0,score,0.43
task3,383.0,score,0.42
task3,384.0,score,0.41
task3,385.0,score,0.39
task3,386.0,score,0.39
task3,387.0,score,0.39
task3,388.0,score,0.39
task3,389.0,score,0.39
task3,390.0,score,0.4
task3,391.0,score,0.41
task3,392.0,score,0.41
task3,393.0,score,0.43
task3,394.0,score,0.43
task3,395.0,score,0.43
task3,396.0,score,0.41
task3,397.0,score,0.42
task3,398.0,score,0.4
task3,399.0,score,0.4
task3,400.0,score,0.4
task3,401.0,score,0.4
task3,402.0,score,0.4
task3,403.0,score,0.4
task3,404.0,score,0.4
task3,405.0,score,0.4
task3,406.0,score,0.41
task3,407.0,score,0.41
task3,408.0,score,0.41
task3,409.0,score,0.41
task3,410.0,score,0.41
task3,411.0,score,0.38
task3,412.0,score,0.37
task3,413.0,score,0.37
task3,414.0,score,0.37
task3,415.0,score,0.39
task3,416.0,score,0.4
task3,417.0,score,0.4
task3,418.0,score,0.34
task3,419.0,score,0.34
task3,420.0,score,0.35
task3,421.0,score,0.35
task3,422.0,score,0.35
task3,423.0,score,0.35
task3,424.0,score,0.43
task3,425.0,score,0.43
task3,426.0,score,0.43
task3,427.0,score,0.43
task3,428.0,score,0.43
task3,429.0,score,0.43
task3,430.0,score,0.45
task3,431.0,score,0.44
task3,432.0,score,0.44
task3,433.0,score,0.46
task3,434.0,score,0.46
task3,435.0,score,0.46
task3,436.0,score,0.46
task3,437.0,score,0.46
task3,438.0,score,0.47
task3,439.0,score,0.47
task3,440.0,score,0.47
task3,441.0,score,0.47
task3,442.0,score,0.46
task3,443.0,score,0.45
task3,444.0,score,0.43
task3,445.0,score,0.42
task3,446.0,score,0.42
task3,447.0,score,0.41
task3,448.0,score,0.4
task3,449.0,score,0.4
task3,450.0,score,0.4
task3,451.0,score,0.41
task3,452.0,score,0.41
task3,453.0,score,0.41
task3,454.0,score,0.42
task3,455.0,score,0.42
task3,456.0,score,0.42
task3,457.0,score,0.42
task3,458.0,score,0.41
task3,459.0,score,0.41
task3,460.0,score,0.42
task3,461.0,score,0.42
task3,462.0,score,0.42
task3,463.0,score,0.42
task3,464.0,score,0.42
task3,465.0,score,0.42
task3,466.0,score,0.42
task3,467.0,score,0.42
task3,468.0,score,0.42
task3,469.0,score,0.42
task3,470.0,score,0.42
task3,471.0,score,0.42
task3,472.0,score,0.42
task3,473.0,score,0.41
task3,474.0,score,0.4
task3,475.0,score,0.4
task3,476.0,score,0.4
task3,477.0,score,0.35
task3,478.0,score,0.35
task3,479.0,score,0.35
task3,480.0,score,0.35
task3,481.0,score,0.34
task3,482.0,score,0.34
task3,483.0,score,0.35
task3,484.0,score,0.35
task3,485.0,score,0.36
task3,486.0,score,0.38
task3,487.0,score,0.39
task3,488.0,score,0.38
task3,489.0,score,0.38
task3,490.0,score,0.36
task3,491.0,score,0.35
task3,492.0,score,0.36
task3,493.0,score,0.34
task3,494.0,score,0.34
task3,495.0,score,0.36
task3,496.0,score,0.36
task3,497.0,score,0.35
task3,498.0,score,0.35
task3,499.0,score,0.36
task3,500.0,score,0.36
task3,501.0,score,0.36
task3,502.0,score,0.36
task3,503.0,score,0.37
task3,504.0,score,0.37
task3,505.0,score,0.37
task3,506.0,score,0.37
task3,507.0,score,0.39
task3,508.0,score,0.39
task3,509.0,score,0.39
task3,510.0,score,0.39
task3,511.0,score,0.39
task3,512.0,score,0.39
task3,513.0,score,0.39
task3,514.0,score,0.4
task3,515.0,score,0.38
task3,516.0,score,0.37
task3,517.0,score,0.37
task3,518.0,score,0.37
task3,519.0,score,0.37
task3,520.0,score,0.37
task3,521.0,score,0.37
task3,522.0,score,0.37
task3,523.0,score,0.37
task3,524.0,score,0.28
task3,525.0,score,0.28
task3,526.0,score,0.28
task3,527.0,score,0.29
task3,528.0,score,0.29
task3,529.0,score,0.29
task3,530.0,score,0.27
task3,531.0,score,0.27
task3,532.0,score,0.27
task3,533.0,score,0.25
task3,534.0,score,0.25
task3,535.0,score,0.27
task3,536.0,score,0.27
task3,537.0,score,0.27
task3,538.0,score,0.27
task3,539.0,score,0.33
task3,540.0,score,0.34
task3,541.0,score,0.34
task3,542.0,score,0.36
task3,543.0,score,0.36
task3,544.0,score,0.36
task3,545.0,score,0.36
task3,546.0,score,0.36
task3,547.0,score,0.36
task3,548.0,score,0.36
task3,549.0,score,0.36
task3,550.0,score,0.37
task3,551.0,score,0.36
task3,552.0,score,0.36
task3,553.0,score,0.36
task3,554.0,score,0.35
task3,555.0,score,0.35
task3,556.0,score,0.35
task3,557.0,score,0.35
task3,558.0,score,0.35
task3,559.0,score,0.36
task3,560.0,score,0.35
task3,561.0,score,0.35
task3,562.0,score,0.35
task3,563.0,score,0.35
task3,564.0,score,0.35
task3,565.0,score,0.35
task3,566.0,score,0.36
task3,567.0,score,0.35
task3,568.0,score,0.35
task3,569.0,score,0.34
task3,570.0,score,0.34
task3,571.0,score,0.34
task3,572.0,score,0.34
task3,573.0,score,0.35
task3,574.0,score,0.35
task3,575.0,score,0.35
task3,576.0,score,0.35
task3,577.0,score,0.35
task3,578.0,score,0.35
task3,579.0,score,0.35
task3,580.0,score,0.35
task3,581.0,score,0.35
task3,582.0,score,0.35
task3,583.0,score,0.35
task3,584.0,score,0.35
task3,585.0,score,0.34
task3,586.0,score,0.33
task3,587.0,score,0.32
task3,588.0,score,0.32
task3,589.0,score,0.33
task3,590.0,score,0.34
task3,591.0,score,0.34
task3,592.0,score,0.34
task3,593.0,score,0.34
task3,594.0,score,0.34
task3,595.0,score,0.33
task3,596.0,score,0.33
task3,597.0,score,0.33
task3,598.0,score,0.34
task3,599.0,score,0.34
task3,600.0,score,0.34
task3,601.0,score,0.34
task3,602.0,score,0.34
task3,603.0,score,0.33
task3,604.0,score,0.35
task3,605.0,score,0.35
task3,606.0,score,0.34
task3,607.0,score,0.32
task3,608.0,score,0.32
task3,609.0,score,0.32
task3,610.0,score,0.32
task3,611.0,score,0.32
task3,612.0,score,0.32
task3,613.0,score,0.32
task3,614.0,score,0.31
task3,615.0,score,0.37
task3,616.0,score,0.37
task3,617.0,score,0.37
task3,618.0,score,0.37
task3,619.0,score,0.37
task3,620.0,score,0.36
task3,621.0,score,0.37
task3,622.0,score,0.38
task3,623.0,score,0.38
task3,624.0,score,0.39
task3,625.0,score,0.39
task3,626.0,score,0.42
task3,627.0,score,0.41
task3,628.0,score,0.41
task3,629.0,score,0.41
task3,630.0,score,0.41
task3,631.0,score,0.41
task3,632.0,score,0.43
task3,633.0,score,0.44
task3,634.0,score,0.43
task3,635.0,score,0.41
task3,636.0,score,0.41
task3,637.0,score,0.41
task3,638.0,score,0.4
task3,639.0,score,0.35
task3,640.0,score,0.4
task3,641.0,score,0.4
task3,642.0,score,0.38
task3,643.0,score,0.38
task3,644.0,score,0.46
task3,645.0,score,0.47
task3,646.0,score,0.47
task3,647.0,score,0.47
task3,648.0,score,0.47
task3,649.0,score,0.47
task3,650.0,score,0.46
task3,651.0,score,0.47
task3,652.0,score,0.47
task3,653.0,score,0.5
task3,654.0,score,0.5
task3,655.0,score,0.5
task3,656.0,score,0.5
task3,657.0,score,0.5
task3,658.0,score,0.5
task3,659.0,score,0.49
task3,660.0,score,0.49
task3,661.0,score,0.49
task3,662.0,score,0.51
task3,663.0,score,0.52
task3,664.0,score,0.52
task3,665.0,score,0.52
task3,666.0,score,0.52
task3,667.0,score,0.53
task3,668.0,score,0.54
task3,669.0,score,0.54
task3,670.0,score,0.55
task3,671.0,score,0.55
task3,672.0,score,0.55
task3,673.0,score,0.55
task3,674.0,score,0.55
task3,675.0,score,0.56
task3,676.0,score,0.56
task3,677.0,score,0.57
task3,678.0,score,0.57
task3,679.0,score,0.57
task3,680.0,score,0.59
task3,681.0,score,0.64
task3,682.0,score,0.64
task3,683.0,score,0.63
task3,684.0,score,0.63
task3,685.0,score,0.63
task3,686.0,score,0.62
task3,687.0,score,0.63
task3,688.0,score,0.63
task3,689.0,score,0.62
task3,690.0,score,0.61
task3,691.0,score,0.61
task3,692.0,score,0.6
task3,693.0,score,0.6
task3,694.0,score,0.6
task3,695.0,score,0.6
task3,696.0,score,0.6
task3,697.0,score,0.63
task3,698.0,score,0.62
task3,699.0,score,0.61
task3,700.0,score,0.61
task3,701.0,score,0.61
task3,702.0,score,0.61
task3,703.0,score,0.61
task3,704.0,score,0.6
task3,705.0,score,0.6
task3,706.0,score,0.61
task3,707.0,score,0.61
task3,708.0,score,0.62
task3,709.0,score,0.64
task3,710.0,score,0.64
task3,711.0,score,0.64
task3,712.0,score,0.64
task3,713.0,score,0.64
task3,714.0,score,0.64
task3,715.0,score,0.59
task3,716.0,score,0.59
task3,717.0,score,0.62
task3,718.0,score,0.63
task3,719.0,score,0.63
task3,720.0,score,0.67
task3,721.0,score,0.66
task3,722.0,score,0.65
task3,723.0,score,0.65
task3,724.0,score,0.65
task3,725.0,score,0.65
task3,726.0,score,0.63
task3,727.0,score,0.63
task3,728.0,score,0.63
task3,729.0,score,0.63
task3,730.0,score,0.63
task3,731.0,score,0.63
task3,732.0,score,0.61
task3,733.0,score,0.6
task3,734.0,score,0.62
task3,735.0,score,0.62
task3,736.0,score,0.62
task3,737.0,score,0.63
task3,738.0,score,0.63
task3,739.0,score,0.62
task3,740.0,score,0.56
task3,741.0,score,0.56
task3,742.0,score,0.56
task3,743.0,score,0.56
task3,744.0,score,0.48
task3,745.0,score,0.47
task3,746.0,score,0.47
task3,747.0,score,0.47
task3,748.0,score,0.5
task3,749.0,score,0.5
task3,750.0,score,0.51
task3,751.0,score,0.5
task3,752.0,score,0.5
task3,753.0,score,0.48
task3,754.0,score,0.48
task3,755.0,score,0.48
task3,756.0,score,0.49
task3,757.0,score,0.49
task3,758.0,score,0.51
task3,759.0,score,0.53
task3,760.0,score,0.54
task3,761.0,score,0.54
task3,762.0,score,0.54
task3,763.0,score,0.53
task3,764.0,score,0.62
task3,765.0,score,0.64
task3,766.0,score,0.63
task3,767.0,score,0.62
task3,768.0,score,0.61
task3,769.0,score,0.61
task3,770.0,score,0.62
task3,771.0,score,0.63
task3,772.0,score,0.63
task3,773.0,score,0.62
task3,774.0,score,0.62
task3,775.0,score,0.62
task3,776.0,score,0.62
task3,777.0,score,0.62
task3,778.0,score,0.63
task3,779.0,score,0.63
task3,780.0,score,0.61
task3,781.0,score,0.56
task3,782.0,score,0.56
task3,783.0,score,0.56
task3,784.0,score,0.56
task3,785.0,score,0.56
task3,786.0,score,0.56
task3,787.0,score,0.56
task3,788.0,score,0.58
task3,789.0,score,0.58
task3,790.0,score,0.6
task3,791.0,score,0.6
task3,792.0,score,0.6
task3,793.0,score,0.6
task3,794.0,score,0.62
task3,795.0,score,0.61
task3,796.0,score,0.61
task3,797.0,score,0.58
task3,798.0,score,0.58
task3,799.0,score,0.58
task3,800.0,score,0.6
task3,801.0,score,0.61
task3,802.0,score,0.61
task3,803.0,score,0.63
task3,804.0,score,0.62
task3,805.0,score,0.63
task3,806.0,score,0.63
task3,807.0,score,0.63
task3,808.0,score,0.62
task3,809.0,score,0.6
task3,810.0,score,0.6
task3,811.0,score,0.61
task3,812.0,score,0.62
task3,813.0,score,0.63
task3,814.0,score,0.64
task3,815.0,score,0.63
task3,816.0,score,0.63
task3,817.0,score,0.62
task3,818.0,score,0.65
task3,819.0,score,0.65
task3,820.0,score,0.61
task3,821.0,score,0.61
task3,822.0,score,0.62
task3,823.0,score,0.62
task3,824.0,score,0.62
task3,825.0,score,0.62
task3,826.0,score,0.62
task3,827.0,score,0.62
task3,828.0,score,0.63
task3,829.0,score,0.64
task3,830.0,score,0.65
task3,831.0,score,0.65
task3,832.0,score,0.65
task3,833.0,score,0.65
task3,834.0,score,0.7
task3,835.0,score,0.7
task3,836.0,score,0.71
task3,837.0,score,0.7
task3,838.0,score,0.7
task3,839.0,score,0.7
task3,840.0,score,0.71
task3,841.0,score,0.71
task3,842.0,score,0.71
task3,843.0,score,0.71
task3,844.0,score,0.74
task3,845.0,score,0.76
task3,846.0,score,0.76
task3,847.0,score,0.76
task3,848.0,score,0.73
task3,849.0,score,0.75
task3,850.0,score,0.74
task3,851.0,score,0.74
task3,852.0,score,0.76
task3,853.0,score,0.77
task3,854.0,score,0.77
task3,855.0,score,0.77
task3,856.0,score,0.76
task3,857.0,score,0.76
task3,858.0,score,0.74
task3,859.0,score,0.72
task3,860.0,score,0.71
task3,861.0,score,0.71
task3,862.0,score,0.69
task3,863.0,score,0.69
task3,864.0,score,0.6
task3,865.0,score,0.58
task3,866.0,score,0.6
task3,867.0,score,0.6
task3,868.0,score,0.65
task3,869.0,score,0.67
task3,870.0,score,0.65
task3,871.0,score,0.64
task3,872.0,score,0.64
task3,873.0,score,0.64
task3,874.0,score,0.65
task3,875.0,score,0.64
task3,876.0,score,0.64
task3,877.0,score,0.65
task3,878.0,score,0.63
task3,879.0,score,0.63
task3,880.0,score,0.63
task3,881.0,score,0.64
task3,882.0,score,0.67
task3,883.0,score,0.68
task3,884.0,score,0.68
task3,885.0,score,0.68
task3,886.0,score,0.71
task3,887.0,score,0.71
task3,888.0,score,0.69
task3,889.0,score,0.69
task3,890.0,score,0.68
task3,891.0,score,0.68
task3,892.0,score,0.68
task3,893.0,score,0.68
task3,894.0,score,0.68
task3,895.0,score,0.7
task3,896.0,score,0.71
task3,897.0,score,0.71
task3,898.0,score,0.71
task3,899.0,score,0.71
task3,900.0,score,0.74
task3,901.0,score,0.73
task3,902.0,score,0.74
task3,903.0,score,0.72
task3,904.0,score,0.75
task3,905.0,score,0.74
task3,906.0,score,0.73
task3,907.0,score,0.73
task3,908.0,score,0.73
task3,909.0,score,0.74
task3,910.0,score,0.74
task3,911.0,score,0.73
task3,912.0,score,0.73
task3,913.0,score,0.72
task3,914.0,score,0.71
task3,915.0,score,0.72
task3,916.0,score,0.74
task3,917.0,score,0.74
task3,918.0,score,0.7
task3,919.0,score,0.71
task3,920.0,score,0.71
task3,921.0,score,0.72
task3,922.0,score,0.71
task3,923.0,score,0.71
task3,924.0,score,0.7
task3,925.0,score,0.7
task3,926.0,score,0.69
task3,927.0,score,0.69
task3,928.0,score,0.68
task3,929.0,score,0.67
task3,930.0,score,0.68
task3,931.0,score,0.68
task3,932.0,score,0.67
task3,933.0,score,0.67
task3,934.0,score,0.6
task3,935.0,score,0.6
task3,936.0,score,0.59
task3,937.0,score,0.6
task3,938.0,score,0.6
task3,939.0,score,0.6
task3,940.0,score,0.59
task3,941.0,score,0.59
task3,942.0,score,0.59
task3,943.0,score,0.59
task3,944.0,score,0.56
task3,945.0,score,0.54
task3,946.0,score,0.54
task3,947.0,score,0.54
task3,948.0,score,0.54
task3,949.0,score,0.54
task3,950.0,score,0.54
task3,951.0,score,0.54
task3,952.0,score,0.52
task3,953.0,score,0.52
task3,954.0,score,0.52
task3,955.0,score,0.52
task3,956.0,score,0.52
task3,957.0,score,0.53
task3,958.0,score,0.54
task3,959.0,score,0.55
task3,960.0,score,0.55
task3,961.0,score,0.56
task3,962.0,score,0.56
task3,963.0,score,0.58
task3,964.0,score,0.58
task3,965.0,score,0.59
task3,966.0,score,0.57
task3,967.0,score,0.58
task3,968.0,score,0.54
task3,969.0,score,0.53
task3,970.0,score,0.53
task3,971.0,score,0.53
task3,972.0,score,0.55
task3,973.0,score,0.55
task3,974.0,score,0.54
task3,975.0,score,0.54
task3,976.0,score,0.55
task3,977.0,score,0.54
task3,978.0,score,0.57
task3,979.0,score,0.57
task3,980.0,score,0.65
task3,981.0,score,0.64
task3,982.0,score,0.61
task3,983.0,score,0.61
task3,984.0,score,0.61
task3,985.0,score,0.61
task3,986.0,score,0.62
task3,987.0,score,0.61
task3,988.0,score,0.62
task3,989.0,score,0.62
task3,990.0,score,0.62
task3,991.0,score,0.62
task3,992.0,score,0.62
task3,993.0,score,0.62
task3,994.0,score,0.6
task3,995.0,score,0.59
task3,996.0,score,0.58
task3,997.0,score,0.58
task3,998.0,score,0.58
task3,999.0,score,0.58
task3,1000.0,score,0.54
task3,1001.0,score,0.54
task3,1002.0,score,0.6
task3,1003.0,score,0.6
task3,1004.0,score,0.58
task3,1005.0,score,0.58
task3,1006.0,score,0.58
task3,1007.0,score,0.58
task3,1008.0,score,0.58
task3,1009.0,score,0.58
task3,1010.0,score,0.58
task3,1011.0,score,0.59
task3,1012.0,score,0.59
task3,1013.0,score,0.6
task3,1014.0,score,0.6
task3,1015.0,score,0.59
task3,1016.0,score,0.57
task3,1017.0,score,0.55
task3,1018.0,score,0.57
task3,1019.0,score,0.58
task3,1020.0,score,0.59
task3,1021.0,score,0.58
task3,1022.0,score,0.59
task3,1023.0,score,0.65
task3,1024.0,score,0.65
task3,1025.0,score,0.65
task3,1026.0,score,0.66
task3,1027.0,score,0.68
task3,1028.0,score,0.7
task3,1029.0,score,0.71
task3,1030.0,score,0.69
task3,1031.0,score,0.69
task3,1032.0,score,0.69
task3,1033.0,score,0.7
task3,1034.0,score,0.71
task3,1035.0,score,0.72
task3,1036.0,score,0.72
task3,1037.0,score,0.71
task3,1038.0,score,0.71
task3,1039.0,score,0.73
task3,1040.0,score,0.73
task3,1041.0,score,0.73
task3,1042.0,score,0.73
task3,1043.0,score,0.76
task3,1044.0,score,0.76
task3,1045.0,score,0.76
task3,1046.0,score,0.76
task3,1047.0,score,0.76
task3,1048.0,score,0.77
task3,1049.0,score,0.76
task3,1050.0,score,0.8
task3,1051.0,score,0.82
task3,1052.0,score,0.82
task3,1053.0,score,0.82
task3,1054.0,score,0.84
task3,1055.0,score,0.84
task3,1056.0,score,0.84
task3,1057.0,score,0.85
task3,1058.0,score,0.84
task3,1059.0,score,0.91
task3,1060.0,score,0.94
task3,1061.0,score,0.93
task3,1062.0,score,0.95
task3,1063.0,score,0.94
task3,1064.0,score,0.94
